date_time, camera_state, computer_state, rx_state, tx_state
2020-10-26 21:33:55.21216004, IMAGING, OFF, OFF, OFF
2020-10-26 21:33:55.53216004, READOUT, OFF, OFF, OFF
2020-10-26 21:33:55.892216004, OFF, WORK, OFF, OFF
2020-10-26 21:33:55.937216004, OFF, OFF, OFF, OFF
2020-10-26 21:33:56.860216005, IMAGING, OFF, OFF, OFF
2020-10-26 21:33:56.891216005, READOUT, OFF, OFF, OFF
2020-10-26 21:33:57.730216006, OFF, WORK, OFF, OFF
2020-10-26 21:33:57.775216006, OFF, OFF, OFF, OFF
2020-10-26 21:33:58.699216007, IMAGING, OFF, OFF, OFF
2020-10-26 21:33:58.730216007, READOUT, OFF, OFF, OFF
2020-10-26 21:33:59.569216008, OFF, WORK, OFF, OFF
2020-10-26 21:33:59.614216008, OFF, OFF, OFF, OFF
2020-10-26 21:34:1.216009, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:1.32216009, READOUT, OFF, OFF, OFF
2020-10-26 21:34:1.871216009, OFF, WORK, OFF, OFF
2020-10-26 21:34:1.916216009, OFF, OFF, OFF, OFF
2020-10-26 21:34:2.839216010, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:2.870216010, READOUT, OFF, OFF, OFF
2020-10-26 21:34:3.709216011, OFF, WORK, OFF, OFF
2020-10-26 21:34:3.754216011, OFF, OFF, OFF, OFF
2020-10-26 21:34:4.678216012, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:4.709216012, READOUT, OFF, OFF, OFF
2020-10-26 21:34:5.548216013, OFF, WORK, OFF, OFF
2020-10-26 21:34:5.593216013, OFF, OFF, OFF, OFF
2020-10-26 21:34:6.517216014, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:6.548216014, READOUT, OFF, OFF, OFF
2020-10-26 21:34:7.387216015, OFF, WORK, OFF, OFF
2020-10-26 21:34:7.432216015, OFF, OFF, OFF, OFF
2020-10-26 21:34:8.356216016, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:8.388216016, READOUT, OFF, OFF, OFF
2020-10-26 21:34:9.226216017, OFF, WORK, OFF, OFF
2020-10-26 21:34:9.270216017, OFF, OFF, OFF, OFF
2020-10-26 21:34:10.195216018, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:10.226216018, READOUT, OFF, OFF, OFF
2020-10-26 21:34:11.65216019, OFF, WORK, OFF, OFF
2020-10-26 21:34:11.110216019, OFF, OFF, OFF, OFF
2020-10-26 21:34:12.34216020, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:12.65216020, READOUT, OFF, OFF, OFF
2020-10-26 21:34:12.904216020, OFF, WORK, OFF, OFF
2020-10-26 21:34:12.949216020, OFF, OFF, OFF, OFF
2020-10-26 21:34:13.873216021, IMAGING, OFF, OFF, OFF
2020-10-26 21:34:13.904216021, READOUT, OFF, OFF, OFF
